epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1091.97,0.8187,0.49744,1.07082,0.9544,0.96135,0.96845,0.7082,0.9485,0.42766,1.13785,0.0011882,0.0011882,0.0011882
43,1117.58,0.83227,0.50723,1.07857,0.98403,0.96135,0.97771,0.72057,0.93422,0.42644,1.14347,0.0011684,0.0011684,0.0011684
44,1142.71,0.81873,0.49077,1.07113,0.96467,0.98068,0.98388,0.72407,0.98368,0.4291,1.16856,0.0011486,0.0011486,0.0011486
45,1167.62,0.81885,0.48945,1.06101,0.97481,0.95652,0.97719,0.72582,0.93785,0.41441,1.13909,0.0011288,0.0011288,0.0011288
46,1192.32,0.81954,0.49038,1.07006,0.97085,0.9655,0.971,0.7197,0.95883,0.41837,1.15062,0.001109,0.001109,0.001109
47,1217.09,0.78739,0.47742,1.0501,0.97106,0.96135,0.96927,0.72625,0.94758,0.41797,1.13122,0.0010892,0.0010892,0.0010892
48,1242.1,0.79621,0.484,1.05473,0.96623,0.96135,0.98047,0.72617,0.94314,0.41518,1.13726,0.0010694,0.0010694,0.0010694
49,1266.98,0.79328,0.47288,1.05879,0.96151,0.9654,0.96986,0.72166,0.93028,0.41735,1.13713,0.0010496,0.0010496,0.0010496
50,1292.17,0.79364,0.46687,1.05081,0.97108,0.97331,0.97739,0.73873,0.95656,0.4056,1.14047,0.0010298,0.0010298,0.0010298
51,1317.44,0.77233,0.4644,1.03864,0.98338,0.96135,0.9829,0.73386,0.9404,0.40972,1.12424,0.00101,0.00101,0.00101
52,1342.05,0.76709,0.46908,1.03768,0.96601,0.96618,0.97139,0.73949,0.91676,0.41563,1.1235,0.0009902,0.0009902,0.0009902
53,1366.56,0.75601,0.45895,1.02762,0.95925,0.98068,0.97187,0.73104,0.91664,0.40001,1.12536,0.0009704,0.0009704,0.0009704
54,1391.62,0.77185,0.46654,1.03945,0.96476,0.97101,0.97023,0.73813,0.92643,0.40434,1.12209,0.0009506,0.0009506,0.0009506
55,1416.45,0.73615,0.44659,1.02451,0.96082,0.94782,0.98094,0.74419,0.92298,0.40502,1.12553,0.0009308,0.0009308,0.0009308
56,1441.52,0.74596,0.45401,1.02354,0.96636,0.97101,0.98024,0.72726,0.94628,0.40715,1.1417,0.000911,0.000911,0.000911
57,1466.68,0.75845,0.45556,1.02675,0.9674,0.96135,0.96444,0.73272,0.90483,0.40072,1.1321,0.0008912,0.0008912,0.0008912
58,1491.87,0.72197,0.44443,1.01931,0.96747,0.97101,0.96644,0.73093,0.9311,0.40218,1.13999,0.0008714,0.0008714,0.0008714
59,1516.21,0.72367,0.43826,1.01456,0.9742,0.96618,0.97206,0.73509,0.91928,0.39061,1.11741,0.0008516,0.0008516,0.0008516
60,1540.76,0.70514,0.42351,1.00601,0.97557,0.96461,0.97543,0.73776,0.93408,0.39155,1.13302,0.0008318,0.0008318,0.0008318
61,1565.66,0.71057,0.42171,1.00809,0.97334,0.97585,0.98112,0.73668,0.93087,0.38843,1.13287,0.000812,0.000812,0.000812
62,1590.48,0.71351,0.4324,1.01221,0.97009,0.97585,0.96991,0.74366,0.92392,0.37508,1.13435,0.0007922,0.0007922,0.0007922
63,1615.35,0.70943,0.42673,1.0135,0.96131,0.98068,0.97623,0.72813,0.94135,0.38911,1.14712,0.0007724,0.0007724,0.0007724
64,1640,0.70893,0.42412,1.00459,0.96663,0.97945,0.97888,0.73335,0.93719,0.38728,1.13645,0.0007526,0.0007526,0.0007526
65,1664.61,0.7042,0.42353,0.99747,0.96982,0.97101,0.97602,0.73387,0.93993,0.39007,1.13514,0.0007328,0.0007328,0.0007328
66,1688.67,0.68693,0.41027,0.99206,0.96608,0.9631,0.97988,0.74439,0.88383,0.38569,1.10241,0.000713,0.000713,0.000713
67,1713.63,0.69452,0.42623,1.00405,0.96046,0.97585,0.98038,0.74116,0.90667,0.38716,1.11836,0.0006932,0.0006932,0.0006932
68,1738.51,0.6995,0.42426,1.00105,0.9725,0.95652,0.97601,0.73601,0.89828,0.38707,1.10876,0.0006734,0.0006734,0.0006734
69,1763.82,0.65894,0.39612,0.97665,0.97109,0.98068,0.98295,0.73339,0.9239,0.37997,1.12492,0.0006536,0.0006536,0.0006536
70,1789.02,0.68497,0.41555,0.99303,0.96142,0.96314,0.97772,0.73457,0.91149,0.38489,1.12713,0.0006338,0.0006338,0.0006338
71,1814.17,0.67009,0.40575,0.98705,0.96439,0.96618,0.98079,0.74759,0.88512,0.37456,1.10806,0.000614,0.000614,0.000614
72,1838.81,0.66502,0.39756,0.98304,0.97565,0.96773,0.98363,0.73489,0.92081,0.37908,1.13701,0.0005942,0.0005942,0.0005942
73,1863.52,0.66455,0.40836,0.98335,0.97564,0.96731,0.98225,0.74844,0.8885,0.37111,1.12069,0.0005744,0.0005744,0.0005744
74,1888.77,0.6529,0.39973,0.97988,0.9768,0.96618,0.9824,0.75026,0.88599,0.36887,1.11071,0.0005546,0.0005546,0.0005546
75,1914.17,0.63644,0.38594,0.97413,0.95237,0.98068,0.97573,0.74601,0.8912,0.37343,1.12228,0.0005348,0.0005348,0.0005348
76,1939.41,0.64434,0.38779,0.98169,0.97097,0.96959,0.98137,0.75406,0.88523,0.36458,1.10953,0.000515,0.000515,0.000515
77,1964.32,0.62332,0.37334,0.96165,0.96659,0.9784,0.97904,0.75255,0.87782,0.35697,1.10247,0.0004952,0.0004952,0.0004952
78,1989.43,0.62944,0.37626,0.97229,0.98134,0.97585,0.98258,0.74765,0.88896,0.36017,1.12212,0.0004754,0.0004754,0.0004754
